Date,Average Daily Total Cloud Cover [oktas],Average Daily Wind Speed [m/s],Average Daily Temperature [°C],Average Daily Relative Humidity [%],Average Daily Station-Level Pressure [hPa],Daily Precipitation Sum [mm],Night Precipitation Sum [mm]
2013-03-05,1.6,3.8,2.6,71.5,1016.8,0.0,0.0
2013-03-06,0.8,3.0,2.9,77.0,1008.5,0.0,0.0
2013-03-07,3.5,6.8,1.5,72.4,1012.5,0.0,0.0
2013-03-08,6.1,6.8,-0.6,48.5,1015.9,0.0,0.0
2013-03-09,4.3,6.4,-2.2,55.6,1011.8,0.0,0.0
2013-03-10,6.5,8.5,-4.7,70.8,1008.5,0.3,0.4
2013-03-11,7.9,6.6,-5.0,79.9,1006.9,0.1,0.1
2013-03-12,7.4,3.3,-4.6,75.9,1005.1,0.1,0.0
2013-03-13,4.1,1.9,-6.1,74.1,1004.5,0.0,0.0
2013-03-14,4.5,2.3,-4.5,80.8,1008.4,0.0,0.5
2013-03-15,4.6,4.6,-2.1,67.4,1010.8,0.0,0.0
2013-03-16,3.1,3.5,-1.3,60.3,1018.0,0.0,0.0
2013-03-17,0.0,3.6,-3.4,65.5,1020.3,0.0,0.0
2013-03-18,2.6,6.6,-2.2,45.1,1011.8,0.0,0.0
2013-03-19,8.0,7.6,-2.7,75.8,998.5,2.2,1.1
2013-03-20,8.0,2.9,-2.8,86.3,1005.3,0.2,0.1
2013-03-21,7.9,3.8,-2.2,83.9,1015.0,0.0,0.0
2013-03-22,4.4,6.6,-4.0,60.3,1022.8,0.0,0.0
2013-03-23,3.8,4.4,-5.7,62.1,1028.8,0.0,0.9
2013-03-24,4.8,3.1,-3.5,73.6,1027.0,1.0,0.0
2013-03-25,2.5,3.1,-2.6,69.8,1025.2,0.0,0.0
2013-03-26,1.1,4.8,-0.8,73.9,1020.2,0.0,0.0
2013-03-27,2.8,3.5,0.0,71.6,1020.0,0.0,0.0
2013-03-28,5.8,5.5,0.4,56.1,1019.5,0.0,0.0
2013-03-29,7.4,5.8,0.2,75.4,1008.6,1.5,0.9
2013-03-30,7.6,2.5,-0.1,90.9,1003.2,0.3,0.0
2013-03-31,7.8,4.4,0.3,85.8,1009.0,0.0,1.9
2013-04-01,8.0,6.1,0.2,94.3,1005.2,1.1,0.1
2013-04-02,5.1,3.8,0.8,82.9,1015.5,0.8,0.0
2013-04-03,4.8,5.3,0.9,84.8,1021.2,0.0,0.1
2013-04-04,8.0,5.0,0.7,95.3,1014.8,2.5,3.1
2013-04-05,8.0,5.1,1.0,93.4,1010.0,0.3,0.0
2013-04-06,5.8,3.8,1.6,88.1,1014.9,0.0,0.0
2013-04-07,2.6,4.1,1.8,70.5,1015.9,0.0,0.0
2013-04-08,4.0,3.0,1.0,85.0,1012.1,0.0,0.0
2013-04-09,4.3,3.0,0.7,71.0,1013.7,0.0,0.0
2013-04-10,6.6,2.9,2.4,74.8,1010.6,0.0,0.0
2013-04-11,7.8,3.1,5.5,80.6,1007.6,0.0,0.4
2013-04-12,7.3,4.9,8.4,91.8,1000.2,2.9,0.0
2013-04-13,5.1,3.9,8.4,85.0,1009.8,1.9,0.1
2013-04-14,6.0,3.4,5.5,74.9,1026.3,0.0,0.0
2013-04-15,2.6,5.9,8.0,72.3,1026.6,0.0,0.0
2013-04-16,5.0,6.4,11.1,67.8,1021.0,0.0,1.0
2013-04-17,5.5,2.3,11.0,81.9,1019.7,0.0,0.0
2013-04-18,6.1,5.0,14.0,70.1,1014.3,0.0,1.8
2013-04-19,5.5,3.6,11.1,67.3,1017.4,0.0,0.0
2013-04-20,2.4,3.6,5.9,80.0,1027.0,0.0,0.0
2013-04-21,0.1,4.1,6.8,66.1,1026.2,0.0,0.0
2013-04-22,2.0,4.5,11.0,52.8,1016.2,0.0,0.1
2013-04-23,6.5,5.5,12.6,53.9,1013.1,0.0,0.0
2013-04-24,4.1,5.0,11.4,56.9,1019.6,0.0,0.0
2013-04-25,4.4,4.1,9.3,72.6,1020.0,0.0,0.0
2013-04-26,6.5,4.4,10.6,83.8,1008.6,0.8,4.3
2013-04-27,7.6,4.3,5.6,91.6,1005.1,0.0,0.1
2013-04-28,4.5,3.3,6.1,85.3,1013.0,0.0,0.0
2013-04-29,6.5,4.4,8.1,88.0,1015.1,0.7,0.9
2013-04-30,5.8,2.9,9.4,65.6,1020.0,0.0,0.0
2013-05-01,3.4,3.5,8.2,69.9,1025.2,0.0,0.0
2013-05-02,6.0,3.1,8.3,68.8,1022.2,0.0,0.0
2013-05-03,6.8,5.0,8.5,67.5,1017.6,0.0,0.0
2013-05-04,2.6,3.6,9.9,64.3,1015.7,0.0,0.0
2013-05-05,0.1,3.3,11.6,67.9,1020.6,0.0,0.0
2013-05-06,1.9,3.1,12.4,73.8,1024.3,0.0,0.0
2013-05-07,5.8,4.1,15.1,71.0,1020.0,0.0,0.4
2013-05-08,4.3,4.1,19.9,70.1,1015.7,0.2,0.0
2013-05-09,4.4,3.5,18.3,77.9,1011.8,10.9,0.2
2013-05-10,7.4,2.0,14.6,96.6,1010.6,3.4,5.3
2013-05-11,7.4,3.4,12.3,81.5,1013.2,0.1,1.1
2013-05-12,7.5,1.4,12.3,82.5,1011.3,0.1,0.0
2013-05-13,5.6,2.8,11.8,81.8,1011.4,0.0,0.0
2013-05-14,2.8,4.0,12.1,75.6,1011.0,0.0,0.0
2013-05-15,2.4,3.9,15.4,65.5,1011.2,0.0,0.0
2013-05-16,1.9,3.9,19.1,65.6,1007.0,0.0,0.0
2013-05-17,0.8,5.4,22.0,61.6,1006.0,0.0,0.0
2013-05-18,2.9,5.0,21.5,63.5,1007.0,3.1,1.6
2013-05-19,2.8,4.6,18.5,70.0,1009.6,0.0,0.0
2013-05-20,3.8,3.9,19.1,75.1,1007.2,9.2,3.7
2013-05-21,6.0,3.0,15.7,81.4,1006.4,0.3,0.0
2013-05-22,3.8,3.3,14.4,77.9,1002.5,0.2,0.2
2013-05-23,5.1,3.9,10.7,72.9,1005.0,0.0,0.0
2013-05-24,7.5,4.0,10.5,84.5,1006.8,2.2,12.8
2013-05-25,7.6,4.5,11.9,94.3,1000.5,0.0,8.7
2013-05-26,6.5,4.5,12.5,82.8,1003.2,0.0,0.6
2013-05-27,6.8,3.8,13.5,90.0,1004.7,0.2,3.1
2013-05-28,6.0,5.9,13.8,81.6,1002.8,1.1,0.0
2013-05-29,3.9,5.0,16.9,70.3,1003.9,0.0,0.0
2013-05-30,3.4,4.6,16.5,79.8,1004.4,0.0,0.0
2013-05-31,6.3,3.6,17.7,82.4,1002.1,0.0,0.4
2013-06-01,6.0,4.3,16.9,88.9,1003.2,0.0,0.2
2013-06-02,6.4,3.5,18.0,83.9,1008.9,0.0,0.5
2013-06-03,3.5,4.6,16.3,87.3,1012.7,0.0,0.0
2013-06-04,7.0,5.6,12.5,91.0,1015.5,0.0,0.0
2013-06-05,6.6,5.3,11.7,87.0,1019.5,0.0,0.0
2013-06-06,5.8,3.8,13.0,90.4,1020.8,0.0,0.0
2013-06-07,3.6,3.3,14.2,86.4,1019.7,0.0,0.0
2013-06-08,2.0,2.4,15.9,74.6,1015.4,0.0,0.0
2013-06-09,3.0,3.4,15.5,77.0,1010.4,0.0,0.0
2013-06-10,4.8,4.1,15.1,81.5,1007.4,0.0,0.0
2013-06-11,3.0,2.6,15.2,74.0,1013.1,0.0,0.0
2013-06-12,1.3,2.4,17.5,66.4,1018.4,0.0,0.0
2013-06-13,5.9,5.3,18.8,70.9,1015.6,0.0,0.0
2013-06-14,5.1,4.5,17.6,65.0,1013.7,0.1,0.0
2013-06-15,4.9,3.3,17.7,66.4,1015.5,0.0,1.4
2013-06-16,5.9,2.6,16.8,69.0,1012.8,0.0,0.1
2013-06-17,2.1,3.4,14.8,77.9,1017.4,0.0,0.0
2013-06-18,3.9,2.9,17.3,76.1,1017.5,0.0,0.0
2013-06-19,2.5,2.8,20.3,73.9,1018.4,0.0,0.0
2013-06-20,3.5,4.5,24.0,67.5,1014.0,0.0,0.0
2013-06-21,4.9,4.0,22.8,75.3,1009.6,0.0,0.0
2013-06-22,3.0,3.6,21.2,70.5,1013.1,0.0,0.0
2013-06-23,4.5,2.6,21.4,74.3,1010.8,0.0,0.4
2013-06-24,3.4,4.1,20.3,69.8,1014.1,0.0,0.0
2013-06-25,6.1,5.1,18.4,87.5,1011.3,11.9,1.6
2013-06-26,7.8,3.3,15.8,94.4,1011.5,6.6,2.5
2013-06-27,5.4,3.6,14.5,74.9,1020.1,0.0,0.0
2013-06-28,2.9,2.0,14.8,72.6,1020.0,0.0,0.0
2013-06-29,3.8,3.1,16.8,72.3,1013.9,0.0,3.6
2013-06-30,6.6,3.8,14.4,73.9,1014.2,0.0,0.1
2013-07-01,5.0,3.3,15.3,75.0,1012.9,0.0,0.0
2013-07-02,5.1,3.0,17.3,80.5,1014.3,2.4,0.0
2013-07-03,3.9,2.6,17.7,84.1,1014.6,0.0,2.1
2013-07-04,6.1,3.1,21.8,78.0,1016.8,2.5,5.0
2013-07-05,5.5,3.0,18.4,88.1,1023.2,0.4,0.0
2013-07-06,1.8,3.3,17.6,75.5,1027.4,0.0,0.0
2013-07-07,3.8,2.4,18.3,77.3,1028.9,0.0,0.0
2013-07-08,1.1,3.1,18.1,81.9,1027.4,0.0,0.0
2013-07-09,3.9,2.5,18.4,73.6,1023.1,0.0,0.0
2013-07-10,4.3,3.3,17.9,74.4,1011.8,0.0,0.0
2013-07-11,5.8,3.1,17.2,78.9,1010.7,0.0,7.3
2013-07-12,7.3,5.3,17.0,86.0,1013.9,7.2,10.0
2013-07-13,7.0,5.0,17.2,89.6,1013.8,0.0,0.0
2013-07-14,4.8,4.0,17.9,72.3,1013.0,0.0,0.0
2013-07-15,5.4,3.8,17.3,75.6,1014.7,0.0,0.0
2013-07-16,5.1,4.1,17.9,77.0,1017.8,0.0,0.0
2013-07-17,2.3,2.6,18.7,80.0,1019.4,0.0,0.0
2013-07-18,1.0,2.6,19.3,74.1,1019.1,0.0,0.0
2013-07-19,5.8,4.3,17.8,79.4,1014.2,0.2,1.5
2013-07-20,3.1,3.9,16.9,70.3,1018.7,0.3,0.0
2013-07-21,1.1,3.6,18.8,74.1,1018.6,0.0,0.0
2013-07-22,3.4,3.1,18.0,71.0,1017.5,0.0,0.0
2013-07-23,6.3,4.8,17.2,75.1,1014.2,0.0,0.4
2013-07-24,6.0,3.5,17.6,83.9,1014.2,0.0,0.0
2013-07-25,7.5,2.3,18.2,83.9,1015.3,0.0,0.0
2013-07-26,4.0,2.1,19.5,83.4,1014.7,0.0,0.0
2013-07-27,3.4,3.1,20.3,83.0,1012.6,0.0,0.0
2013-07-28,5.8,3.8,23.8,72.6,1011.4,0.0,0.0
2013-07-29,5.9,3.8,21.9,86.4,1010.8,1.6,10.1
2013-07-30,6.0,3.5,19.8,86.4,1009.0,0.0,0.0
2013-07-31,3.5,4.1,18.9,77.1,1012.4,0.8,0.0
2013-08-01,3.8,3.1,18.2,78.1,1016.1,0.0,0.0
2013-08-02,3.5,2.8,19.5,77.6,1017.0,0.0,0.0
2013-08-03,0.3,2.6,20.2,74.6,1017.4,0.0,0.9
2013-08-04,5.6,2.9,21.2,80.4,1019.7,0.1,0.0
2013-08-05,3.9,2.6,21.2,75.4,1020.2,0.0,0.0
2013-08-06,5.1,3.3,24.8,68.1,1015.7,0.0,0.0
2013-08-07,3.6,2.8,22.0,81.3,1013.1,0.0,0.0
2013-08-08,3.6,2.4,23.7,81.6,1011.9,0.0,0.0
2013-08-09,6.0,3.6,20.5,74.6,1016.6,0.0,9.5
2013-08-10,6.6,2.3,16.4,86.6,1015.9,7.5,0.2
2013-08-11,4.3,4.4,17.5,72.6,1012.6,0.0,0.0
2013-08-12,4.9,3.5,17.5,69.6,1012.8,0.0,7.5
2013-08-13,6.1,2.9,15.2,85.5,1010.5,4.5,0.0
2013-08-14,4.1,5.1,14.3,81.5,1013.5,1.9,0.5
2013-08-15,5.1,3.5,15.8,78.0,1020.1,0.0,0.0
2013-08-16,3.5,2.9,17.6,71.5,1021.0,0.0,0.0
2013-08-17,3.4,4.3,19.4,62.0,1016.8,0.0,0.0
2013-08-18,5.5,4.4,22.0,62.8,1012.3,0.0,0.1
2013-08-19,6.1,2.6,20.4,82.1,1013.9,0.0,2.2
2013-08-20,7.4,3.1,18.6,87.5,1018.9,1.3,0.0
2013-08-21,6.4,2.9,17.4,75.0,1023.3,0.0,0.0
2013-08-22,5.6,3.4,15.5,83.5,1020.4,0.2,0.9
2013-08-23,4.3,4.5,18.0,73.5,1021.0,0.0,0.0
2013-08-24,2.3,3.9,17.7,70.4,1019.7,0.0,0.0
2013-08-25,2.4,3.1,16.6,62.9,1019.1,0.0,0.0
2013-08-26,1.4,4.5,17.3,70.5,1020.8,0.0,0.0
2013-08-27,3.3,3.8,19.2,78.8,1019.0,0.0,0.0
2013-08-28,2.8,1.9,17.9,76.1,1016.8,0.0,0.0
2013-08-29,2.5,2.8,16.6,81.0,1018.6,0.0,0.0
2013-08-30,3.8,2.1,16.8,75.1,1017.2,0.0,0.0
2013-08-31,6.8,2.6,18.1,72.3,1013.1,0.0,0.0
2013-09-01,5.8,5.0,15.7,65.8,1013.4,0.0,0.0
2013-09-02,6.5,6.3,13.4,84.9,1006.4,10.3,1.4
2013-09-03,3.1,5.9,16.4,74.0,1016.5,0.0,0.0
2013-09-04,2.6,2.1,14.4,78.5,1023.6,0.0,0.0
2013-09-05,0.8,2.8,14.9,85.5,1022.6,0.0,0.0
2013-09-06,0.3,3.0,16.3,76.0,1020.5,0.0,0.0
2013-09-07,0.3,2.5,15.4,79.6,1022.8,0.0,0.0
2013-09-08,1.9,2.8,15.9,68.9,1023.9,0.0,0.0
2013-09-09,5.0,4.6,17.5,65.9,1015.0,0.0,6.4
2013-09-10,4.0,2.4,14.4,80.9,1014.4,0.0,0.0
2013-09-11,6.4,2.4,12.4,92.6,1012.8,7.9,0.0
2013-09-12,7.0,2.1,11.5,99.1,1013.0,12.4,0.7
2013-09-13,7.4,2.8,14.2,91.8,1012.3,0.0,0.1
2013-09-14,7.8,3.9,16.8,88.8,1010.1,0.0,0.0
2013-09-15,6.8,4.1,15.2,88.4,1007.5,0.0,1.6
2013-09-16,7.6,3.0,14.4,89.5,1000.8,0.3,3.6
2013-09-17,7.8,3.1,12.7,92.0,997.7,6.6,0.0
2013-09-18,6.3,1.6,12.1,78.9,998.0,0.0,0.0
2013-09-19,5.6,3.4,12.6,81.8,1002.0,0.0,0.0
2013-09-20,3.1,3.3,12.4,82.0,1009.6,0.0,0.0
2013-09-21,1.9,3.5,13.8,77.4,1018.0,0.0,0.0
2013-09-22,6.6,4.6,14.1,84.9,1016.7,0.0,3.5
2013-09-23,5.4,5.6,14.7,69.8,1009.0,0.0,0.5
2013-09-24,4.9,6.0,11.9,72.4,1008.1,9.4,2.3
2013-09-25,5.4,3.5,9.6,81.8,1012.3,1.0,0.0
2013-09-26,6.3,3.0,7.5,86.9,1011.1,10.8,3.1
2013-09-27,3.3,3.3,7.0,79.4,1013.0,0.3,0.2
2013-09-28,5.3,3.9,9.1,80.6,1013.1,5.4,1.5
2013-09-29,3.3,2.8,9.9,77.8,1019.7,0.0,1.8
2013-09-30,3.9,2.8,8.6,81.0,1019.8,0.0,0.0
2013-10-01,6.4,2.1,7.6,82.3,1020.3,0.8,2.3
2013-10-02,6.0,3.3,7.1,63.5,1028.6,0.0,0.0
2013-10-03,3.0,2.4,5.6,72.8,1033.4,0.0,0.0
2013-10-04,0.4,5.3,4.9,73.8,1030.2,0.0,0.0
2013-10-05,4.8,5.1,7.3,68.9,1020.7,0.0,0.0
2013-10-06,7.8,2.5,10.8,80.0,1020.4,0.0,0.0
2013-10-07,3.5,2.4,11.6,83.6,1024.5,0.0,0.0
2013-10-08,5.5,2.4,12.3,78.8,1024.7,0.0,0.0
2013-10-09,7.0,3.5,13.3,73.6,1014.6,0.0,0.0
2013-10-10,7.1,3.9,12.3,84.6,1009.2,0.0,0.0
2013-10-11,4.3,3.3,13.1,92.5,1020.8,0.0,0.0
2013-10-12,7.0,4.3,10.6,91.4,1025.9,0.0,0.0
2013-10-13,8.0,2.6,11.2,90.4,1020.1,0.0,1.8
2013-10-14,3.1,2.1,10.3,89.1,1020.7,0.0,0.2
2013-10-15,6.1,2.5,7.6,87.8,1012.3,0.0,0.0
2013-10-16,5.1,2.1,9.7,91.0,1008.6,0.0,0.0
2013-10-17,7.6,4.5,9.2,93.5,1007.2,0.0,1.5
2013-10-18,6.0,4.8,9.5,81.6,1007.7,5.5,0.6
2013-10-19,4.1,3.3,4.8,86.9,1020.1,0.0,2.6
2013-10-20,7.5,2.9,8.0,94.4,1011.7,0.0,2.0
2013-10-21,6.4,3.5,11.6,95.1,1011.2,17.4,0.0
2013-10-22,5.8,4.3,11.8,92.9,1016.2,0.0,0.0
2013-10-23,3.4,6.1,14.4,87.0,1009.2,0.0,0.3
2013-10-24,4.1,3.4,13.0,83.0,1012.5,0.0,0.0
2013-10-25,2.9,3.6,8.6,82.1,1018.4,0.0,0.0
2013-10-26,6.5,4.0,13.0,94.3,1010.2,1.4,0.0
2013-10-27,5.9,4.1,13.6,95.0,1004.1,2.0,1.3
2013-10-28,4.9,5.5,13.2,81.1,998.0,0.1,0.0
2013-10-29,2.6,5.4,12.1,70.1,1005.3,0.0,0.0
2013-10-30,2.1,3.8,8.6,78.1,1015.3,0.0,0.0
2013-10-31,3.8,4.5,8.1,82.1,1023.0,0.0,0.0
2013-11-01,5.0,4.1,6.4,86.0,1015.0,0.0,0.1
2013-11-02,6.4,5.1,8.0,93.3,1004.7,3.3,0.4
2013-11-03,7.5,4.0,9.5,93.5,997.6,6.6,0.0
2013-11-04,5.5,6.9,7.8,82.0,993.8,0.0,0.0
2013-11-05,5.8,4.8,8.4,83.0,991.5,0.0,0.0
2013-11-06,7.4,2.9,6.2,92.4,994.6,0.8,0.0
2013-11-07,6.8,3.9,6.2,95.4,1001.5,0.5,0.0
2013-11-08,6.4,2.6,6.5,95.8,1009.3,0.0,0.3
2013-11-09,6.0,4.5,6.9,89.6,1005.6,1.8,0.0
2013-11-10,4.1,3.9,5.5,87.4,1004.9,0.0,0.0
2013-11-11,5.5,4.1,6.0,87.8,1021.0,0.1,0.0
2013-11-12,6.3,4.4,5.2,82.3,1026.4,0.0,0.7
2013-11-13,4.6,3.8,5.6,87.4,1021.0,0.0,0.0
2013-11-14,5.1,3.9,3.8,95.5,1021.8,0.1,0.0
2013-11-15,7.9,3.8,2.9,94.1,1026.3,0.0,0.0
2013-11-16,7.9,5.6,6.7,86.9,1021.1,0.0,0.0
2013-11-17,6.4,3.9,7.9,87.9,1020.4,0.0,0.0
2013-11-18,6.9,6.5,5.3,92.6,1017.1,0.0,0.0
2013-11-19,7.9,4.4,6.8,85.8,1007.5,0.0,0.0
2013-11-20,7.8,3.5,5.5,95.8,1001.4,2.6,0.0
2013-11-21,6.9,3.3,5.5,88.8,1003.9,0.0,0.0
2013-11-22,7.1,2.5,6.7,90.4,1010.7,0.0,0.0
2013-11-23,7.9,2.1,8.3,94.1,1014.0,0.0,0.0
2013-11-24,7.0,5.1,5.4,83.9,1011.1,2.0,0.0
2013-11-25,5.5,6.4,4.2,73.6,1016.5,2.8,1.8
2013-11-26,6.0,4.9,2.7,89.1,1024.8,4.9,0.0
2013-11-27,7.0,4.9,1.6,91.9,1021.8,0.6,0.0
2013-11-28,3.8,7.9,7.7,72.5,1010.6,0.0,0.0
2013-11-29,5.3,5.0,4.5,80.3,1010.8,0.0,3.6
2013-11-30,7.1,3.5,2.8,97.4,1008.9,0.4,0.0
2013-12-01,4.9,6.9,5.5,84.6,1011.9,0.9,0.0
2013-12-02,2.6,4.8,4.0,60.8,1029.3,0.0,0.0
2013-12-03,4.5,4.5,1.0,82.5,1025.4,0.0,0.0
2013-12-04,7.3,5.9,3.1,87.4,1012.7,0.0,0.0
2013-12-05,5.8,7.1,3.5,84.4,1002.4,0.2,4.1
2013-12-06,7.0,10.1,0.3,93.8,981.3,1.1,10.7
2013-12-07,6.0,9.0,1.0,80.4,1001.8,0.2,0.0
2013-12-08,5.3,5.3,-1.1,78.1,1013.8,0.2,1.7
2013-12-09,6.3,4.9,3.0,81.0,1015.1,0.4,0.0
2013-12-10,5.9,4.4,-0.2,89.1,1032.7,0.0,0.0
2013-12-11,7.5,3.3,3.8,92.0,1029.5,0.0,0.1
2013-12-12,5.9,4.1,2.5,96.5,1025.9,0.0,0.0
2013-12-13,6.6,3.1,2.5,96.9,1020.5,0.1,0.2
2013-12-14,8.0,2.8,2.5,100.0,1022.0,1.7,1.3
2013-12-15,7.8,4.0,3.4,95.3,1023.0,0.8,0.1
2013-12-16,6.5,4.8,5.7,87.3,1024.2,0.0,0.0
2013-12-17,5.9,4.0,4.1,82.3,1021.8,0.0,0.0
2013-12-18,7.0,3.3,3.3,93.4,1022.5,0.0,0.0
2013-12-19,6.9,5.9,1.0,89.5,1012.5,0.0,0.0
2013-12-20,7.5,3.4,2.1,95.0,1018.0,0.3,0.9
2013-12-21,6.1,5.3,4.0,81.8,1021.6,0.0,0.0
2013-12-22,7.1,4.9,4.9,81.4,1013.7,0.0,0.1
2013-12-23,4.1,4.9,4.9,83.3,1011.4,0.4,0.0
2013-12-24,6.1,7.6,5.4,84.8,1005.1,0.0,0.0
2013-12-25,6.9,6.3,5.3,86.3,997.4,0.0,0.0
2013-12-26,7.5,3.6,5.1,89.3,998.6,0.0,0.0
2013-12-27,6.4,5.6,5.4,91.9,1003.8,0.0,0.0
2013-12-28,7.1,5.5,5.9,89.8,1004.2,0.0,0.3
2013-12-29,7.1,3.5,5.3,92.0,1008.8,0.8,0.0
2013-12-30,4.6,3.9,4.2,89.6,1022.9,0.1,0.0
2013-12-31,1.4,5.3,0.2,94.9,1023.9,0.0,0.0
2014-01-01,8.0,5.4,1.9,94.8,1016.9,0.0,0.0
2014-01-02,7.1,6.0,1.6,94.0,1011.4,0.0,0.4
2014-01-03,7.1,4.8,2.0,97.5,1010.3,0.1,0.2
2014-01-04,3.5,3.9,3.6,92.9,1009.5,0.0,0.0
2014-01-05,6.6,4.3,4.5,96.3,1004.1,5.0,1.5
2014-01-06,5.5,5.6,3.9,92.8,1011.4,2.4,2.2
2014-01-07,5.3,4.9,6.8,93.1,1011.3,0.8,0.0
2014-01-08,6.1,3.8,6.0,95.3,1011.4,5.3,0.1
2014-01-09,7.1,5.3,6.1,91.9,1005.5,0.1,2.4
2014-01-10,6.4,8.0,6.4,81.1,996.9,1.4,1.9
2014-01-11,7.0,5.1,5.0,89.6,1006.5,0.0,0.7
2014-01-12,6.9,7.1,2.9,86.4,1005.1,3.1,0.2
2014-01-13,6.3,4.9,-1.8,76.4,1014.3,0.0,0.0
2014-01-14,7.0,3.9,-1.0,84.9,1011.7,0.0,0.2
2014-01-15,7.9,3.6,-0.2,88.3,1010.6,0.0,0.0
2014-01-16,7.6,4.1,-2.8,88.9,1014.2,0.0,0.1
